"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url","stimulus","button_pressed","answer"
"-1","-1","single-stim","578","2366987","0.0-578.0","","","Blobs/LowSimilarity/d07.gif","",""
"756","","button-response","579","2368744","0.0-579.0","","","","0",""
"-1","-1","single-stim","580","2370247","0.0-580.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","581","2372250","0.0-581.0","","","Blobs/LowSimilarity/a02.gif","",""
"3988","","button-response","582","2377241","0.0-582.0","","","","0",""
"-1","-1","single-stim","583","2378742","0.0-583.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","584","2380745","0.0-584.0","","","Blobs/LowSimilarity/c16.gif","",""
"3471","","button-response","585","2385217","0.0-585.0","","","","0",""
"-1","-1","single-stim","586","2386719","0.0-586.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","587","2388721","0.0-587.0","","","Blobs/LowSimilarity/b08.gif","",""
"154","","button-response","588","2389878","0.0-588.0","","","","0",""
"-1","-1","single-stim","589","2391380","0.0-589.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","590","2393382","0.0-590.0","","","Blobs/LowSimilarity/d10.gif","",""
"102","","button-response","591","2394486","0.0-591.0","","","","0",""
"-1","-1","single-stim","592","2395987","0.0-592.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","593","2397989","0.0-593.0","","","Blobs/LowSimilarity/a16.gif","",""
"190","","button-response","594","2399180","0.0-594.0","","","","0",""
"-1","-1","single-stim","595","2400683","0.0-595.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","596","2402684","0.0-596.0","","","Blobs/LowSimilarity/c14.gif","",""
"378","","button-response","597","2404063","0.0-597.0","","","","0",""
"-1","-1","single-stim","598","2405565","0.0-598.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","599","2407567","0.0-599.0","","","Blobs/LowSimilarity/b03.gif","",""
"102","","button-response","600","2408669","0.0-600.0","","","","0",""
"-1","-1","single-stim","601","2410170","0.0-601.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","602","2412172","0.0-602.0","","","Blobs/LowSimilarity/d04.gif","",""
"214","","button-response","603","2413386","0.0-603.0","","","","0",""
"-1","-1","single-stim","604","2414890","0.0-604.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","605","2416891","0.0-605.0","","","Blobs/LowSimilarity/a08.gif","",""
"12","","button-response","606","2417906","0.0-606.0","","","","0",""
"-1","-1","single-stim","607","2419408","0.0-607.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","608","2421409","0.0-608.0","","","Blobs/LowSimilarity/c05.gif","",""
"60","","button-response","609","2422471","0.0-609.0","","","","0",""
"-1","-1","single-stim","610","2423973","0.0-610.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","611","2425975","0.0-611.0","","","Blobs/LowSimilarity/b11.gif","",""
"28","","button-response","612","2427005","0.0-612.0","","","","0",""
"","","call-function","613","2428016","0.0-613.0","","","","",""
"21942","13","text","614","2449958","0.0-614.0","","","","",""
"1305","13","text","615","2452265","0.0-615.0","","","","",""
"4468","","survey-text","616","2457735","0.0-616.0","{""Q0"":""26""}","","","",""
"1809","","survey-multi-choice","617","2460547","0.0-617.0","{""Q0"":""Male""}","","","",""
"2706","","survey-multi-choice","618","2464257","0.0-618.0","{""Q0"":""Asian""}","","","",""
"2639","","survey-text","619","2467899","0.0-619.0","{""Q0"":""1""}","","","",""
"1140","","survey-text","620","2470041","0.0-620.0","{""Q0"":""2""}","","","",""
"879","","survey-text","621","2471921","0.0-621.0","{""Q0"":""3""}","","","",""
"866","","survey-text","622","2473788","0.0-622.0","{""Q0"":""4""}","","","",""
"898","","survey-text","623","2475688","0.0-623.0","{""Q0"":""5""}","","","",""
"1153","13","text","624","2477842","0.0-624.0","","","","",""
"2506","","button-response","625","2481351","0.0-625.0","","","Blobs/LowSimilarity/c12.gif","0","b"
"76","","button-response","626","2482432","0.0-626.0","","","Blobs/LowSimilarity/c16.gif","0","b"
"85","","button-response","627","2483519","0.0-627.0","","","Blobs/LowSimilarity/c09.gif","0","b"
"97","","button-response","628","2484620","0.0-628.0","","","Blobs/LowSimilarity/b13.gif","0","b"
"127","","button-response","629","2485750","0.0-629.0","","","Blobs/LowSimilarity/a11.gif","0","b"
"124","","button-response","630","2486877","0.0-630.0","","","Blobs/LowSimilarity/a06.gif","0","b"
"158","","button-response","631","2488039","0.0-631.0","","","Blobs/LowSimilarity/c14.gif","0","b"
"105","","button-response","632","2489148","0.0-632.0","","","Blobs/LowSimilarity/b07.gif","0","b"
"217","","button-response","633","2490367","0.0-633.0","","","Blobs/LowSimilarity/a10.gif","0","b"
"18","","button-response","634","2491390","0.0-634.0","","","Blobs/LowSimilarity/b14.gif","0","b"
"180","","button-response","635","2492572","0.0-635.0","","","Blobs/LowSimilarity/d15.gif","0","b"
"125","","button-response","636","2493700","0.0-636.0","","","Blobs/LowSimilarity/a07.gif","0","b"
"163","","button-response","637","2494869","0.0-637.0","","","Blobs/LowSimilarity/d03.gif","0","b"
"87","","button-response","638","2495958","0.0-638.0","","","Blobs/LowSimilarity/b08.gif","0","b"
"218","","button-response","639","2497179","0.0-639.0","","","Blobs/LowSimilarity/c10.gif","0","b"
"150","","button-response","640","2498332","0.0-640.0","","","Blobs/LowSimilarity/b05.gif","0","b"
"27","","button-response","641","2499363","0.0-641.0","","","Blobs/LowSimilarity/d14.gif","0","b"
"213","","button-response","642","2500578","0.0-642.0","","","Blobs/LowSimilarity/a05.gif","0","b"
"133","","button-response","643","2501713","0.0-643.0","","","Blobs/LowSimilarity/a12.gif","0","b"
"21","","button-response","644","2502738","0.0-644.0","","","Blobs/LowSimilarity/c07.gif","0","b"
"165","","button-response","645","2503906","0.0-645.0","","","Blobs/LowSimilarity/a01.gif","0","b"
"130","","button-response","646","2505039","0.0-646.0","","","Blobs/LowSimilarity/c03.gif","0","b"
