"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","responses","url","stimulus","button_pressed","answer"
"-1","-1","single-stim","115","200949","0.0-115.0","","","Blobs/LowSimilarity/b03.gif","",""
"158","","button-response","116","202109","0.0-116.0","","","","0",""
"-1","-1","single-stim","117","203611","0.0-117.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","118","205613","0.0-118.0","","","Blobs/LowSimilarity/d04.gif","",""
"12823","","button-response","119","219440","0.0-119.0","","","","0",""
"-1","-1","single-stim","120","220943","0.0-120.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","121","222944","0.0-121.0","","","Blobs/LowSimilarity/a08.gif","",""
"41","","button-response","122","223987","0.0-122.0","","","","0",""
"-1","-1","single-stim","123","225488","0.0-123.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","124","227490","0.0-124.0","","","Blobs/LowSimilarity/c05.gif","",""
"551","","button-response","125","229042","0.0-125.0","","","","0",""
"-1","-1","single-stim","126","230544","0.0-126.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","127","232546","0.0-127.0","","","Blobs/LowSimilarity/b11.gif","",""
"171","","button-response","128","233720","0.0-128.0","","","","0",""
"-1","-1","single-stim","129","235222","0.0-129.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","130","237225","0.0-130.0","","","Blobs/LowSimilarity/d02.gif","",""
"75","","button-response","131","238302","0.0-131.0","","","","0",""
"-1","-1","single-stim","132","239804","0.0-132.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","133","241806","0.0-133.0","","","Blobs/LowSimilarity/a10.gif","",""
"291","","button-response","134","243098","0.0-134.0","","","","0",""
"-1","-1","single-stim","135","244599","0.0-135.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","136","246601","0.0-136.0","","","Blobs/LowSimilarity/c08.gif","",""
"45","","button-response","137","247648","0.0-137.0","","","","0",""
"-1","-1","single-stim","138","249150","0.0-138.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","139","251151","0.0-139.0","","","Blobs/LowSimilarity/b16.gif","",""
"72","","button-response","140","252225","0.0-140.0","","","","0",""
"-1","-1","single-stim","141","253728","0.0-141.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","142","255730","0.0-142.0","","","Blobs/LowSimilarity/d14.gif","",""
"149","","button-response","143","256882","0.0-143.0","","","","0",""
"-1","-1","single-stim","144","258383","0.0-144.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","145","260388","0.0-145.0","","","Blobs/LowSimilarity/a06.gif","",""
"49","","button-response","146","261439","0.0-146.0","","","","0",""
"-1","-1","single-stim","147","262941","0.0-147.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","148","264942","0.0-148.0","","","Blobs/LowSimilarity/c04.gif","",""
"174","","button-response","149","266118","0.0-149.0","","","","0",""
"-1","-1","single-stim","150","267620","0.0-150.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","151","269621","0.0-151.0","","","Blobs/LowSimilarity/b13.gif","",""
"160","","button-response","152","270782","0.0-152.0","","","","0",""
"-1","-1","single-stim","153","272283","0.0-153.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","154","274287","0.0-154.0","","","Blobs/LowSimilarity/d12.gif","",""
"206","","button-response","155","275494","0.0-155.0","","","","0",""
"-1","-1","single-stim","156","276996","0.0-156.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","157","278998","0.0-157.0","","","Blobs/LowSimilarity/a09.gif","",""
"59","","button-response","158","280059","0.0-158.0","","","","0",""
"-1","-1","single-stim","159","281561","0.0-159.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","160","283563","0.0-160.0","","","Blobs/LowSimilarity/c09.gif","",""
"208","","button-response","161","284771","0.0-161.0","","","","0",""
"-1","-1","single-stim","162","286273","0.0-162.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","163","288274","0.0-163.0","","","Blobs/LowSimilarity/b14.gif","",""
"13317","","button-response","164","302593","0.0-164.0","","","","0",""
"-1","-1","single-stim","165","304095","0.0-165.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","166","306098","0.0-166.0","","","Blobs/LowSimilarity/d16.gif","",""
"77","","button-response","167","307176","0.0-167.0","","","","0",""
"-1","-1","single-stim","168","308677","0.0-168.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","169","310680","0.0-169.0","","","Blobs/LowSimilarity/a05.gif","",""
"606","","button-response","170","312287","0.0-170.0","","","","0",""
"-1","-1","single-stim","171","313788","0.0-171.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","172","315790","0.0-172.0","","","Blobs/LowSimilarity/c03.gif","",""
"68","","button-response","173","316859","0.0-173.0","","","","0",""
"-1","-1","single-stim","174","318361","0.0-174.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","175","320362","0.0-175.0","","","Blobs/LowSimilarity/b06.gif","",""
"88","","button-response","176","321453","0.0-176.0","","","","0",""
"","","call-function","177","322461","0.0-177.0","","","","",""
"-1","-1","single-stim","178","322962","0.0-178.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","179","324964","0.0-179.0","","","Blobs/LowSimilarity/d01.gif","",""
"75","","button-response","180","326040","0.0-180.0","","","","0",""
"-1","-1","single-stim","181","327543","0.0-181.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","182","329545","0.0-182.0","","","Blobs/LowSimilarity/a11.gif","",""
"207","","button-response","183","330752","0.0-183.0","","","","0",""
"-1","-1","single-stim","184","332255","0.0-184.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","185","334257","0.0-185.0","","","Blobs/LowSimilarity/c15.gif","",""
"113","","button-response","186","335374","0.0-186.0","","","","0",""
"-1","-1","single-stim","187","336877","0.0-187.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","188","338879","0.0-188.0","","","Blobs/LowSimilarity/b01.gif","",""
"23","","button-response","189","339905","0.0-189.0","","","","0",""
"-1","-1","single-stim","190","341406","0.0-190.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","191","343409","0.0-191.0","","","Blobs/LowSimilarity/d07.gif","",""
"110","","button-response","192","344520","0.0-192.0","","","","0",""
"-1","-1","single-stim","193","346022","0.0-193.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","194","348025","0.0-194.0","","","Blobs/LowSimilarity/a02.gif","",""
"189","","button-response","195","349216","0.0-195.0","","","","0",""
"-1","-1","single-stim","196","350718","0.0-196.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","197","352720","0.0-197.0","","","Blobs/LowSimilarity/c16.gif","",""
"30","","button-response","198","353751","0.0-198.0","","","","0",""
"-1","-1","single-stim","199","355253","0.0-199.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","200","357254","0.0-200.0","","","Blobs/LowSimilarity/b08.gif","",""
"439","","button-response","201","358696","0.0-201.0","","","","0",""
"-1","-1","single-stim","202","360198","0.0-202.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","203","362199","0.0-203.0","","","Blobs/LowSimilarity/d10.gif","",""
"191","","button-response","204","363392","0.0-204.0","","","","0",""
"-1","-1","single-stim","205","364894","0.0-205.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","206","366897","0.0-206.0","","","Blobs/LowSimilarity/a16.gif","",""
"1215","","button-response","207","369114","0.0-207.0","","","","0",""
"-1","-1","single-stim","208","370618","0.0-208.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","209","372621","0.0-209.0","","","Blobs/LowSimilarity/c14.gif","",""
"62","","button-response","210","373685","0.0-210.0","","","","0",""
"-1","-1","single-stim","211","375186","0.0-211.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","212","377189","0.0-212.0","","","Blobs/LowSimilarity/b03.gif","",""
"76","","button-response","213","378268","0.0-213.0","","","","0",""
"-1","-1","single-stim","214","379770","0.0-214.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","215","381772","0.0-215.0","","","Blobs/LowSimilarity/d04.gif","",""
"155","","button-response","216","382932","0.0-216.0","","","","0",""
"-1","-1","single-stim","217","384433","0.0-217.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","218","386435","0.0-218.0","","","Blobs/LowSimilarity/a08.gif","",""
"185","","button-response","219","387623","0.0-219.0","","","","0",""
"-1","-1","single-stim","220","389125","0.0-220.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","221","391126","0.0-221.0","","","Blobs/LowSimilarity/c05.gif","",""
"83","","button-response","222","392211","0.0-222.0","","","","0",""
"-1","-1","single-stim","223","393714","0.0-223.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","224","395716","0.0-224.0","","","Blobs/LowSimilarity/b11.gif","",""
"154","","button-response","225","396873","0.0-225.0","","","","0",""
"-1","-1","single-stim","226","398376","0.0-226.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","227","400377","0.0-227.0","","","Blobs/LowSimilarity/d02.gif","",""
"155","","button-response","228","401535","0.0-228.0","","","","0",""
"-1","-1","single-stim","229","403036","0.0-229.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","230","405038","0.0-230.0","","","Blobs/LowSimilarity/a10.gif","",""
"176","","button-response","231","406216","0.0-231.0","","","","0",""
"-1","-1","single-stim","232","407718","0.0-232.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","233","409720","0.0-233.0","","","Blobs/LowSimilarity/c08.gif","",""
"189","","button-response","234","410911","0.0-234.0","","","","0",""
"-1","-1","single-stim","235","412413","0.0-235.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","236","414415","0.0-236.0","","","Blobs/LowSimilarity/b16.gif","",""
"129","","button-response","237","415546","0.0-237.0","","","","0",""
"-1","-1","single-stim","238","417048","0.0-238.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","239","419051","0.0-239.0","","","Blobs/LowSimilarity/d14.gif","",""
"140","","button-response","240","420194","0.0-240.0","","","","0",""
"-1","-1","single-stim","241","421695","0.0-241.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","242","423696","0.0-242.0","","","Blobs/LowSimilarity/a06.gif","",""
"434","","button-response","243","425132","0.0-243.0","","","","0",""
"-1","-1","single-stim","244","426636","0.0-244.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","245","428638","0.0-245.0","","","Blobs/LowSimilarity/c04.gif","",""
"3674","","button-response","246","433313","0.0-246.0","","","","0",""
"-1","-1","single-stim","247","434815","0.0-247.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","248","436816","0.0-248.0","","","Blobs/LowSimilarity/b13.gif","",""
"98","","button-response","249","437915","0.0-249.0","","","","0",""
"-1","-1","single-stim","250","439417","0.0-250.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","251","441420","0.0-251.0","","","Blobs/LowSimilarity/d12.gif","",""
"516","","button-response","252","442939","0.0-252.0","","","","0",""
"-1","-1","single-stim","253","444442","0.0-253.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","254","446444","0.0-254.0","","","Blobs/LowSimilarity/a09.gif","",""
"129","","button-response","255","447576","0.0-255.0","","","","0",""
"-1","-1","single-stim","256","449077","0.0-256.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","257","451078","0.0-257.0","","","Blobs/LowSimilarity/c09.gif","",""
"208","","button-response","258","452289","0.0-258.0","","","","0",""
"-1","-1","single-stim","259","453790","0.0-259.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","260","455792","0.0-260.0","","","Blobs/LowSimilarity/b14.gif","",""
"126","","button-response","261","456920","0.0-261.0","","","","0",""
"-1","-1","single-stim","262","458423","0.0-262.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","263","460424","0.0-263.0","","","Blobs/LowSimilarity/d16.gif","",""
"58","","button-response","264","461484","0.0-264.0","","","","0",""
"-1","-1","single-stim","265","462986","0.0-265.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","266","464988","0.0-266.0","","","Blobs/LowSimilarity/a05.gif","",""
"711","","button-response","267","466701","0.0-267.0","","","","0",""
"-1","-1","single-stim","268","468203","0.0-268.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","269","470204","0.0-269.0","","","Blobs/LowSimilarity/c03.gif","",""
"236","","button-response","270","471441","0.0-270.0","","","","0",""
"-1","-1","single-stim","271","472944","0.0-271.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","272","474947","0.0-272.0","","","Blobs/LowSimilarity/b06.gif","",""
"223","","button-response","273","476170","0.0-273.0","","","","0",""
"-1","-1","single-stim","274","477675","0.0-274.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","275","479677","0.0-275.0","","","Blobs/LowSimilarity/d01.gif","",""
"110","","button-response","276","480788","0.0-276.0","","","","0",""
"-1","-1","single-stim","277","482290","0.0-277.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","278","484292","0.0-278.0","","","Blobs/LowSimilarity/a11.gif","",""
"170","","button-response","279","485465","0.0-279.0","","","","0",""
"-1","-1","single-stim","280","486968","0.0-280.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","281","488971","0.0-281.0","","","Blobs/LowSimilarity/c15.gif","",""
"181","","button-response","282","490153","0.0-282.0","","","","0",""
"-1","-1","single-stim","283","491656","0.0-283.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","284","493658","0.0-284.0","","","Blobs/LowSimilarity/b01.gif","",""
"3864","","button-response","285","498524","0.0-285.0","","","","0",""
"-1","-1","single-stim","286","500026","0.0-286.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","287","502028","0.0-287.0","","","Blobs/LowSimilarity/d07.gif","",""
"452","","button-response","288","503482","0.0-288.0","","","","0",""
"-1","-1","single-stim","289","504985","0.0-289.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","290","506987","0.0-290.0","","","Blobs/LowSimilarity/a02.gif","",""
"173","","button-response","291","508162","0.0-291.0","","","","0",""
"-1","-1","single-stim","292","509664","0.0-292.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","293","511665","0.0-293.0","","","Blobs/LowSimilarity/c16.gif","",""
"68","","button-response","294","512735","0.0-294.0","","","","0",""
"-1","-1","single-stim","295","514237","0.0-295.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","296","516239","0.0-296.0","","","Blobs/LowSimilarity/b08.gif","",""
"181","","button-response","297","517422","0.0-297.0","","","","0",""
"-1","-1","single-stim","298","518925","0.0-298.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","299","520928","0.0-299.0","","","Blobs/LowSimilarity/d10.gif","",""
"198","","button-response","300","522128","0.0-300.0","","","","0",""
"-1","-1","single-stim","301","523630","0.0-301.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","302","525632","0.0-302.0","","","Blobs/LowSimilarity/a16.gif","",""
"199","","button-response","303","526833","0.0-303.0","","","","0",""
"-1","-1","single-stim","304","528335","0.0-304.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","305","530337","0.0-305.0","","","Blobs/LowSimilarity/c14.gif","",""
"184","","button-response","306","531523","0.0-306.0","","","","0",""
"-1","-1","single-stim","307","533025","0.0-307.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","308","535026","0.0-308.0","","","Blobs/LowSimilarity/b03.gif","",""
"1978","","button-response","309","538006","0.0-309.0","","","","0",""
"8557","","survey-multi-choice","310","547569","0.0-310.0","{""Q0"":""1. Memorize specific examples of the categories""}","","","",""
"-1","-1","single-stim","311","549072","0.0-311.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","312","551074","0.0-312.0","","","Blobs/LowSimilarity/d04.gif","",""
"1191","","button-response","313","553268","0.0-313.0","","","","0",""
"-1","-1","single-stim","314","554769","0.0-314.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","315","556771","0.0-315.0","","","Blobs/LowSimilarity/a08.gif","",""
"106","","button-response","316","557881","0.0-316.0","","","","0",""
"-1","-1","single-stim","317","559382","0.0-317.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","318","561384","0.0-318.0","","","Blobs/LowSimilarity/c05.gif","",""
"20","","button-response","319","562407","0.0-319.0","","","","0",""
"-1","-1","single-stim","320","563910","0.0-320.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","321","565912","0.0-321.0","","","Blobs/LowSimilarity/b11.gif","",""
"50","","button-response","322","566964","0.0-322.0","","","","0",""
"","","call-function","323","567971","0.0-323.0","","","","",""
"-1","-1","single-stim","324","568472","0.0-324.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","325","570475","0.0-325.0","","","Blobs/LowSimilarity/d02.gif","",""
"110","","button-response","326","571587","0.0-326.0","","","","0",""
"-1","-1","single-stim","327","573089","0.0-327.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","328","575090","0.0-328.0","","","Blobs/LowSimilarity/a10.gif","",""
"176","","button-response","329","576269","0.0-329.0","","","","0",""
"-1","-1","single-stim","330","577772","0.0-330.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","331","579775","0.0-331.0","","","Blobs/LowSimilarity/c08.gif","",""
"144","","button-response","332","580921","0.0-332.0","","","","0",""
"-1","-1","single-stim","333","582423","0.0-333.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","334","584425","0.0-334.0","","","Blobs/LowSimilarity/b16.gif","",""
"172","","button-response","335","585598","0.0-335.0","","","","0",""
"-1","-1","single-stim","336","587101","0.0-336.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","337","589103","0.0-337.0","","","Blobs/LowSimilarity/d14.gif","",""
"42","","button-response","338","590147","0.0-338.0","","","","0",""
"-1","-1","single-stim","339","591648","0.0-339.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","340","593650","0.0-340.0","","","Blobs/LowSimilarity/a06.gif","",""
"330","","button-response","341","594982","0.0-341.0","","","","0",""
"-1","-1","single-stim","342","596484","0.0-342.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","343","598486","0.0-343.0","","","Blobs/LowSimilarity/c04.gif","",""
"51","","button-response","344","599539","0.0-344.0","","","","0",""
"-1","-1","single-stim","345","601040","0.0-345.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","346","603042","0.0-346.0","","","Blobs/LowSimilarity/b13.gif","",""
"208","","button-response","347","604252","0.0-347.0","","","","0",""
"-1","-1","single-stim","348","605754","0.0-348.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","349","607757","0.0-349.0","","","Blobs/LowSimilarity/d12.gif","",""
"173","","button-response","350","608932","0.0-350.0","","","","0",""
"-1","-1","single-stim","351","610436","0.0-351.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","352","612438","0.0-352.0","","","Blobs/LowSimilarity/a09.gif","",""
"168","","button-response","353","613608","0.0-353.0","","","","0",""
"-1","-1","single-stim","354","615109","0.0-354.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","355","617111","0.0-355.0","","","Blobs/LowSimilarity/c09.gif","",""
"199","","button-response","356","618312","0.0-356.0","","","","0",""
"-1","-1","single-stim","357","619813","0.0-357.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","358","621815","0.0-358.0","","","Blobs/LowSimilarity/b14.gif","",""
"37","","button-response","359","622854","0.0-359.0","","","","0",""
"-1","-1","single-stim","360","624355","0.0-360.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","361","626357","0.0-361.0","","","Blobs/LowSimilarity/d16.gif","",""
"54","","button-response","362","627413","0.0-362.0","","","","0",""
"-1","-1","single-stim","363","628916","0.0-363.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","364","630919","0.0-364.0","","","Blobs/LowSimilarity/a05.gif","",""
"122","","button-response","365","632043","0.0-365.0","","","","0",""
"-1","-1","single-stim","366","633546","0.0-366.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","367","635548","0.0-367.0","","","Blobs/LowSimilarity/c03.gif","",""
"28","","button-response","368","636577","0.0-368.0","","","","0",""
"-1","-1","single-stim","369","638081","0.0-369.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","370","640083","0.0-370.0","","","Blobs/LowSimilarity/b06.gif","",""
"67","","button-response","371","641151","0.0-371.0","","","","0",""
"-1","-1","single-stim","372","642653","0.0-372.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","373","644654","0.0-373.0","","","Blobs/LowSimilarity/d01.gif","",""
"22","","button-response","374","645677","0.0-374.0","","","","0",""
"-1","-1","single-stim","375","647179","0.0-375.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","376","649181","0.0-376.0","","","Blobs/LowSimilarity/a11.gif","",""
"139","","button-response","377","650323","0.0-377.0","","","","0",""
"-1","-1","single-stim","378","651824","0.0-378.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","379","653826","0.0-379.0","","","Blobs/LowSimilarity/c15.gif","",""
"165","","button-response","380","654993","0.0-380.0","","","","0",""
"-1","-1","single-stim","381","656497","0.0-381.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","382","658498","0.0-382.0","","","Blobs/LowSimilarity/b01.gif","",""
"511","","button-response","383","660012","0.0-383.0","","","","0",""
"-1","-1","single-stim","384","661514","0.0-384.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","385","663516","0.0-385.0","","","Blobs/LowSimilarity/d07.gif","",""
"34","","button-response","386","664552","0.0-386.0","","","","0",""
"-1","-1","single-stim","387","666053","0.0-387.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","388","668054","0.0-388.0","","","Blobs/LowSimilarity/a02.gif","",""
"176","","button-response","389","669232","0.0-389.0","","","","0",""
"-1","-1","single-stim","390","670735","0.0-390.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","391","672737","0.0-391.0","","","Blobs/LowSimilarity/c16.gif","",""
"20","","button-response","392","673758","0.0-392.0","","","","0",""
"-1","-1","single-stim","393","675261","0.0-393.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","394","677264","0.0-394.0","","","Blobs/LowSimilarity/b08.gif","",""
"100","","button-response","395","678366","0.0-395.0","","","","0",""
"-1","-1","single-stim","396","679867","0.0-396.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","397","681869","0.0-397.0","","","Blobs/LowSimilarity/d10.gif","",""
"85","","button-response","398","682956","0.0-398.0","","","","0",""
"-1","-1","single-stim","399","684457","0.0-399.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","400","686458","0.0-400.0","","","Blobs/LowSimilarity/a16.gif","",""
"23","","button-response","401","687484","0.0-401.0","","","","0",""
"-1","-1","single-stim","402","688985","0.0-402.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","403","690987","0.0-403.0","","","Blobs/LowSimilarity/c14.gif","",""
"30","","button-response","404","692018","0.0-404.0","","","","0",""
"-1","-1","single-stim","405","693521","0.0-405.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","406","695523","0.0-406.0","","","Blobs/LowSimilarity/b03.gif","",""
"14","","button-response","407","696537","0.0-407.0","","","","0",""
"-1","-1","single-stim","408","698038","0.0-408.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","409","700040","0.0-409.0","","","Blobs/LowSimilarity/d04.gif","",""
"2533","","button-response","410","703574","0.0-410.0","","","","0",""
"-1","-1","single-stim","411","705076","0.0-411.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","412","707078","0.0-412.0","","","Blobs/LowSimilarity/a08.gif","",""
"133","","button-response","413","708213","0.0-413.0","","","","0",""
"-1","-1","single-stim","414","709716","0.0-414.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","415","711718","0.0-415.0","","","Blobs/LowSimilarity/c05.gif","",""
"100","","button-response","416","712820","0.0-416.0","","","","0",""
"-1","-1","single-stim","417","714322","0.0-417.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","418","716323","0.0-418.0","","","Blobs/LowSimilarity/b11.gif","",""
"53","","button-response","419","717378","0.0-419.0","","","","0",""
"-1","-1","single-stim","420","718882","0.0-420.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","421","720883","0.0-421.0","","","Blobs/LowSimilarity/d02.gif","",""
"101","","button-response","422","721985","0.0-422.0","","","","0",""
"-1","-1","single-stim","423","723488","0.0-423.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","424","725489","0.0-424.0","","","Blobs/LowSimilarity/a10.gif","",""
"69","","button-response","425","726560","0.0-425.0","","","","0",""
"-1","-1","single-stim","426","728062","0.0-426.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","427","730064","0.0-427.0","","","Blobs/LowSimilarity/c08.gif","",""
"197","","button-response","428","731263","0.0-428.0","","","","0",""
"-1","-1","single-stim","429","732766","0.0-429.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","430","734768","0.0-430.0","","","Blobs/LowSimilarity/b16.gif","",""
"116","","button-response","431","735885","0.0-431.0","","","","0",""
"-1","-1","single-stim","432","737387","0.0-432.0","","","<p class='center-content'><br><br><br><br><br>+</p>","",""
"-1","-1","single-stim","433","739389","0.0-433.0","","","Blobs/LowSimilarity/d14.gif","",""
